Nama Restoran,Nama,Pengguna Gojek Sejak,Rating,Ulasan,Produk yang Dibeli,Tanggal Beli,Waktu Scraping
"McDonald's, Mulyosari Surabaya",B******,10 Oktober 2016,1.0,pesen mcflury add toping Oreo gak dikasih..kmarin pesen di aplikasi lain mcflurry dikasih kok toppingnya..kan bayar add topingnya,Beef Burger - McFlurry Feat. Oreo,14 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",C*******,3 Oktober 2016,4.0,Next time please check the Notes for the menu ordered. Thanks,PaNas 2 Spicy Large - Apple Pie,14 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",D***,25 Juli 2015,5.0,mantaab.. apalagi kalo belinya di gojek lebih mantab dpt diskon 😁👍,1pc Krispy Chicken,5 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",F***** D** R********,26 Desember 2019,5.0,apresiasi to McD uda adain event ini,BTS Meal - McFlurry Feat. Oreo,9 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",B****,1 Oktober 2018,5.0,MAKASIII BANGETTT BUAT BAPAKNYA UDAH MAU ANTRI 😭😭😭,BTS Meal,9 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",B****** N**********,11 Mei 2017,1.0,kopinya tumpah sehingga merembet ke makanan yang lain.,Sausage McMuffin Extra Value Meal,6 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",L*****,28 November 2019,5.0,saosnya ntar tambahin 🥲🥲🥲🥲,Cheeseburger+ Color Surprise McFlurry + Reg. Fanta - Double Choco Pie,30 Mei 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",N*****,16 Agustus 2019,5.0,untuk minuman sepertinya tidak perlu dibungkus paperbag lagi.,Double Cheeseburger Meal Medium,29 Mei 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",S**** K***** S,7 Agustus 2015,5.0,LITERALLY ENAK BGT. cmn cola nya kurang menyoda,Fish Fillet Burger - French Fries Large,6 Mei 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",A***** P**** M******,10 Februari 2020,5.0,ENAK BANGET NO DEBAT,"Paket Hantaran 5 Pcs Chicken Crispy, 5 Med Rice, 5 TBK 250 ml - Paket Berdua A",27 Mei 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",K****,2 Desember 2015,1.0,selalu mengabaikan catatan,PaNas Spesial Medium - PaNas 1 Medium,27 Mei 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",W**** R* F****,16 April 2017,5.0,terimah kasih sudah menerima komplain dan mengirimnya lagi,Happy Meal Beef Burger - Cheeseburger Meal Medium - Double Cheeseburger Meal Medium,24 Mei 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",F*** E*** W********,2 Juli 2018,5.0,semua nya enak... fresh.... mantep👍👍👍👍,2 pcs Krispy Chicken McD - Choco Sundae,25 Mei 2021,2025-07-11 22:20:01
